"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-let-7a-1","27362","52097","61296","15724","21187","17897","36000","22812","28879","74525","217868","60786","66335","12373","17603","19090","70433","35348","31168","20567","49392","12236","22082","5809","76031","7904","27309","29191","56875","19874","25957","30865","9701","55759","17447"
"hsa-let-7a-2","27320","52281","61497","15973","20991","18030","36558","22711","28766","75079","218576","60557","66297","12456","17338","18843","70481","35574","30853","20196","49138","12272","22114","5644","75460","7985","27160","29382","56760","19190","26031","30916","9787","55841","17518"
"hsa-let-7a-3","27591","52444","61745","15929","21338","18064","36532","22524","29154","74937","218635","60892","66551","12302","17562","19056","70921","35462","31211","20142","49146","12399","21876","5697","75584","8073","27540","29232","56868","19760","25798","31215","9696","55832","17491"
"hsa-let-7b","37421","48262","71672","31248","22030","28880","46569","38813","46843","68520","153789","46753","153580","19422","31935","24089","85893","44200","55971","22202","31964","11169","26732","10891","67211","10124","35008","39489","78657","37003","46763","34366","20402","69867","25910"
"hsa-let-7c","12007","19447","27356","801","3563","4091","10729","5103","11303","24245","64899","12957","14414","611","1621","973","11288","11139","18016","2227","1764","107","3512","261","38263","2088","8212","6802","7901","2024","7295","6226","488","4720","1884"
"hsa-let-7d","997","1541","1057","1808","738","3315","1124","1171","4323","1005","2416","961","7248","1816","1882","2885","2861","998","1527","1249","2000","508","1386","606","3323","440","2020","2722","3162","3607","2725","5353","1137","2264","2945"
"hsa-let-7e","5613","9694","5362","1152","3169","2751","6008","1910","3819","27774","64024","15406","10676","820","1297","899","8986","7996","6075","5244","6050","422","3064","422","9606","2890","1892","2438","11317","2097","3249","4630","549","6215","1262"
"hsa-let-7f-1","14254","29335","22322","7254","23218","7708","15963","8740","12976","47981","145068","45228","25984","7022","10013","9776","40153","15552","11315","5950","42771","4723","9866","2639","44886","8306","17380","16399","30362","8376","13401","18029","4322","28942","9144"
"hsa-let-7f-2","14326","29837","22803","7389","23230","7700","16443","9016","13145","48861","147174","45856","25961","6979","9967","9671","40172","15795","11373","6185","43331","4871","9938","2682","45125","8432","17736","16442","30605","8506","13121","18178","4335","28878","9149"
"hsa-let-7g","1393","1919","2003","2625","1106","3911","1340","1808","3279","4427","25176","4101","10868","3404","4272","4602","4560","1279","1582","1614","2823","1066","1285","623","4199","571","3079","5502","3518","3130","2507","4672","1394","4018","2989"
"hsa-let-7i","1213","1151","1574","1693","621","1499","2042","1212","2918","1604","4257","2359","5636","1700","2682","4409","2421","1274","1459","912","1531","172","1474","357","4269","496","3880","3102","3216","2442","3385","3069","884","2401","3587"
"hsa-mir-1-1","939","1657","584","48","1025","281","1016","327","1121","2671","12754","1530","3560","71","120","91","1254","935","1230","42","25","0","102","2","2494","83","24","200","18","22","395","70","17","83","15"
"hsa-mir-1-2","1065","1792","562","77","1096","300","1067","405","1148","2794","13515","1677","3786","59","101","101","1389","1055","1384","49","27","2","129","5","2593","69","32","207","26","27","422","82","12","73","21"
"hsa-mir-100","21246","28809","37485","2545","7106","14787","40284","11749","43323","20433","73669","31576","46962","2264","3711","5364","39137","31114","35674","5265","7744","201","11253","874","70908","2498","26520","18161","11477","5931","30682","34235","1128","10866","11546"
"hsa-mir-101-1","16269","17418","31275","9741","13484","14135","14826","28587","30419","9499","32257","12046","43248","10144","12918","24550","30442","14000","18873","12040","30623","3606","15109","3342","46797","8562","20471","34344","16702","7824","25756","23143","6714","30394","12826"
"hsa-mir-101-2","16766","17797","31686","9687","13805","14083","15488","28499","31124","9787","33737","12590","43624","9988","12937","24979","31045","14444","19131","12249","30898","3695","15164","3275","47998","8584","21160","34571","16906","7892","25960","23446","6726","30540","12901"
"hsa-mir-103a-1","26353","27705","36394","8402","16023","10127","28980","9632","25719","24594","58885","34139","20538","9642","8269","14348","48214","26576","24097","26927","47595","11976","40989","10874","47437","14653","81799","22381","48825","10090","24593","35701","17015","53590","17890"
"hsa-mir-103a-2","26697","27497","36368","8210","16045","10401","28905","9749","25930","25124","59141","34365","20803","9665","8254","14424","48473","26257","23922","27350","48138","11791","41141","10829","47407","14367","81925","22318","49338","10056","24900","35932","17048","53870","17867"
"hsa-mir-103b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-103b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-105-1","2","0","1","1","0","1","3","2","0","0","6","2","3","1","0","1","12","1","1","21","3","0","796","5","0","120","0","0","3","0","0","56","0","1","1"
"hsa-mir-105-2","3","1","0","0","0","0","0","1","1","3","3","1","3","0","0","2","12","1","2","19","5","0","799","0","1","84","0","0","2","1","3","46","1","0","1"
"hsa-mir-106a","69","35","30","21","8","28","55","40","71","73","158","72","71","36","33","68","78","113","57","103","18","23","48","32","40","6","52","35","35","42","32","22","73","19","18"
"hsa-mir-106b","597","1043","1161","829","597","1349","522","890","2495","555","1278","560","2516","1142","945","1226","2110","539","559","5548","3415","271","2562","528","4105","912","2384","3200","3333","2497","2509","2435","1151","3245","1469"
"hsa-mir-107","160","307","314","82","143","135","124","206","343","178","632","137","284","145","125","180","445","150","139","328","393","87","359","57","340","146","374","282","539","171","265","443","152","666","207"
"hsa-mir-10a","221927","206237","78941","35164","73946","137810","153609","59891","275198","174743","328017","105440","361084","33944","43560","70185","348902","275986","291658","322281","39895","12331","54267","60408","589698","23937","70936","109539","221037","104491","124448","156411","66922","149143","163014"
"hsa-mir-10b","58005","34993","108221","50023","21730","85139","78691","24423","202928","34528","44959","40642","182012","48054","41152","100162","97334","67873","60714","46671","30509","3464","38706","8526","204585","33138","80372","120370","32485","51414","94793","72468","59458","49277","63925"
"hsa-mir-1178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1179","0","1","0","0","0","3","0","0","5","0","4","0","11","1","1","1","2","0","1","1","1","0","39","0","5","0","4","3","0","3","0","0","0","1","0"
"hsa-mir-1180","28","45","44","23","14","35","32","23","86","34","125","32","92","38","30","36","72","35","72","63","44","10","187","19","51","22","24","56","37","52","43","45","27","61","60"
"hsa-mir-1181","0","0","0","0","1","0","2","0","0","0","1","0","1","0","0","2","1","0","1","0","1","0","0","2","0","0","2","2","3","3","0","0","0","1","2"
"hsa-mir-1182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1185-1","0","1","0","0","0","0","0","0","2","0","3","0","2","1","0","3","0","0","1","0","1","0","0","0","4","0","0","1","4","3","1","5","1","0","0"
"hsa-mir-1185-2","0","0","0","0","0","2","1","1","1","0","0","0","2","2","1","0","0","0","2","0","0","0","0","0","1","0","1","0","5","0","2","3","1","0","2"
"hsa-mir-1193","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-1197","0","0","0","0","1","0","0","0","2","0","2","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0"
"hsa-mir-1199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-122","7","0","2","2","1","8","0","1","1","12","0","1","89","1","3","0","1","1","0","1","1","0","1","1","0","0","1","26","0","0","1","0","3","0","0"
"hsa-mir-1224","0","13","0","8","18","49","0","9","48","0","1","0","69","10","5","0","8","1","0","3","1","0","4947","1","6","0","57","0","0","0","0","4","4","1","1"
"hsa-mir-1225","2","2","0","0","0","1","0","1","0","0","3","0","3","0","1","0","1","2","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1226","1","3","0","4","1","5","0","1","10","2","4","4","11","4","0","4","1","1","5","2","1","1","9","0","5","2","7","8","3","8","9","8","1","2","1"
"hsa-mir-1227","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","2","0","0","0","0","0","0","0","1","0","1","1","1","0","1","0"
"hsa-mir-1228","0","0","1","0","0","2","0","1","3","0","1","0","9","1","1","5","1","0","0","8","1","1","2","0","8","3","3","7","8","7","7","6","2","4","4"
"hsa-mir-1229","1","0","1","1","0","4","0","0","2","1","1","0","8","1","2","3","2","1","3","8","0","0","2","1","1","0","3","4","4","3","3","3","3","8","4"
"hsa-mir-1231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-1233-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1234","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","1","0","0","0","0","0"
"hsa-mir-1236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","3"
"hsa-mir-1237","0","0","0","0","0","2","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0"
"hsa-mir-1238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-124-1","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","1","0","0","0","7","0","1","0","1","0","0","0","1","0","0","0","0"
"hsa-mir-124-2","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-124-3","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","2","0","0","0","10","0","2","0","0","1","0","0","1","1","0","1","0"
"hsa-mir-1243","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0"
"hsa-mir-1244-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1245a","9","0","1","3","1","2","8","0","12","8","2","6","15","0","2","1","10","8","2","5","3","0","4","0","23","0","19","5","23","4","15","23","2","2","15"
"hsa-mir-1245b","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","3","1","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","0"
"hsa-mir-1246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"hsa-mir-1247","33","126","233","49","41","81","38","77","404","35","35","38","165","50","28","28","55","21","30","34","13","0","10","3","217","11","26","70","61","54","261","64","4","2009","26"
"hsa-mir-1248","15","2","5","3","1","2","8","2","10","12","14","11","8","5","12","3","34","2","9","9","0","2","9","0","23","0","13","15","15","9","7","1","0","8","3"
"hsa-mir-1249","4","2","4","2","0","8","0","1","5","3","2","1","23","6","9","5","10","1","0","8","13","1","4","1","17","2","9","6","10","6","8","6","1","10","12"
"hsa-mir-1250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-1251","0","0","0","4","0","5","0","2","3","0","0","0","83","6","2","6","2","0","0","109","0","0","0","0","2","0","0","0","0","2","1","0","1","0","0"
"hsa-mir-1252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0"
"hsa-mir-1253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1254-1","0","0","2","1","0","0","0","0","0","0","0","0","2","1","1","1","0","0","1","3","1","2","0","1","1","0","2","1","2","0","0","8","1","1","0"
"hsa-mir-1254-2","0","1","0","1","0","0","0","0","0","0","0","1","2","1","0","3","1","1","0","6","6","0","0","0","0","2","0","5","7","1","2","9","2","1","6"
"hsa-mir-1255a","0","0","0","2","0","7","0","0","0","1","0","1","3","0","1","3","1","0","0","4","3","0","1","0","1","0","2","2","1","0","4","0","1","0","1"
"hsa-mir-1255b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1255b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1256","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"hsa-mir-1257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","1","0","0","0"
"hsa-mir-1258","5","15","8","0","13","7","18","3","36","7","3","12","61","0","0","4","12","14","8","2","2","0","1","1","31","1","4","6","4","2","19","3","1","3","5"
"hsa-mir-125a","2055","1903","2115","1522","549","4212","3336","1184","4913","3056","10374","2741","15847","1458","1742","2089","4292","3212","4054","3960","1268","146","717","234","4772","435","1412","2814","3259","2012","2367","3535","551","2221","1664"
"hsa-mir-125b-1","1296","2008","1772","373","301","2096","2077","952","3702","1758","7361","2156","7420","384","587","463","2589","1786","2602","507","326","14","919","61","5972","163","1435","1864","1077","769","2440","2974","136","678","891"
"hsa-mir-125b-2","1452","2153","2024","313","324","2137","2193","1005","3851","1902","7708","2290","7519","413","612","420","2782","1786","2628","540","378","13","884","85","6214","186","1448","1789","1121","730","2397","2962","150","753","939"
"hsa-mir-126","1837","1698","6571","12063","935","18270","2636","4202","20790","1601","5308","2619","41709","16246","15109","48110","8368","1905","3636","16580","5656","709","3872","1974","18017","728","14020","40509","3580","21790","19543","33877","4906","12211","20963"
"hsa-mir-1260a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1260b","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-1261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1262","4","3","7","3","10","4","5","2","14","4","7","9","21","6","5","12","10","6","7","13","3","0","4","1","10","2","2","10","5","1","8","2","0","7","0"
"hsa-mir-1263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1265","0","0","0","0","0","0","0","0","1","2","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1266","6","9","6","64","28","28","4","18","90","3","2","3","133","89","55","179","44","2","3","205","18","14","23","21","36","13","10","86","106","140","97","99","59","123","218"
"hsa-mir-1267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1268a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1268b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1269a","0","0","0","1","0","4","0","4","6","0","0","0","7","0","1","5","0","0","0","819","578","0","1457","3","0","1","1","95","0","1","2","106","0","938","0"
"hsa-mir-1269b","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","132","3","2","3","0","0","2","0","0","0","0","333","0"
"hsa-mir-127","1336","4231","2812","954","1165","2477","1142","1759","5391","1563","4664","1191","4690","1583","1679","2643","3398","1243","2153","2272","2533","124","1250","335","9915","898","5841","3355","7184","4676","8347","6643","604","1809","2635"
"hsa-mir-1270","1","4","1","5","1","3","0","3","9","1","5","2","21","8","8","9","3","0","0","39","1","0","5","0","6","0","3","27","2","5","10","21","1","3","4"
"hsa-mir-1271","5","5","7","10","1","22","7","3","19","5","26","4","95","7","18","17","11","6","10","20","3","0","3","2","26","2","13","11","10","11","20","18","1","9","9"
"hsa-mir-1272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273d","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273e","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1273h","0","0","0","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1"
"hsa-mir-1275","0","0","0","2","0","3","0","0","0","0","0","0","5","0","0","2","0","0","0","1","4","0","0","1","2","2","1","2","1","3","1","1","1","1","0"
"hsa-mir-1276","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","3","0","0","5","1","1","2","1","0","4","2","0","1","0","3","0"
"hsa-mir-1277","0","0","2","8","1","7","0","5","3","0","4","0","34","16","16","30","1","0","2","18","1","0","2","1","6","1","8","24","8","11","17","16","4","12","14"
"hsa-mir-1278","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-1279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-128-1","109","202","286","97","101","162","148","151","263","86","377","85","386","101","118","160","394","188","152","392","813","58","729","78","382","213","210","355","351","184","261","281","95","516","153"
"hsa-mir-128-2","79","188","191","69","86","102","103","69","193","76","267","54","341","74","103","105","282","126","157","309","612","48","431","41","224","182","138","242","268","133","190","200","63","409","117"
"hsa-mir-1281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-1282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1283-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1283-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1284","0","0","0","0","0","2","0","1","1","0","2","0","1","1","1","0","3","0","0","4","0","1","0","1","0","0","1","0","1","1","2","1","2","1","1"
"hsa-mir-1285-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1285-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1286","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1287","47","80","81","74","22","106","107","87","148","65","150","109","374","42","115","134","152","97","86","180","34","11","76","16","137","54","79","106","134","133","149","84","26","208","80"
"hsa-mir-1288","0","0","3","0","0","1","0","2","7","0","2","0","1","0","1","3","3","0","0","2","1","0","2","0","10","10","1","5","1","2","4","2","0","3","4"
"hsa-mir-1289-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1289-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-129-1","38","35","9","12","14","74","45","20","109","35","86","40","96","29","11","15","50","74","33","3","3","1","1468","6","42","2","16","25","5","3","15","2","1","5","1"
"hsa-mir-129-2","32","43","3","9","15","71","38","24","107","37","94","43","124","72","18","17","62","72","32","9","6","0","1560","14","55","8","15","35","3","3","21","1","2","17","3"
"hsa-mir-1290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-1291","0","0","2","1","0","2","0","0","2","1","1","0","2","4","4","3","0","0","0","5","0","2","4","0","0","0","2","7","1","5","2","1","1","0","2"
"hsa-mir-1292","0","0","1","0","0","1","0","0","1","1","1","0","7","2","0","3","1","0","0","6","1","0","6","0","3","1","3","3","4","4","0","4","1","1","1"
"hsa-mir-1293","0","0","9","4","0","0","0","0","2","0","0","0","3","1","0","3","0","0","0","3","0","0","0","0","1","0","2","5","3","0","2","1","1","3","1"
"hsa-mir-1294","0","0","0","2","0","0","0","5","1","1","2","0","4","1","1","1","2","0","0","1","0","0","1","0","1","0","0","1","5","4","1","0","1","0","2"
"hsa-mir-1295a","0","0","2","4","0","1","0","1","7","2","0","0","23","5","11","7","6","1","1","5","0","20","0","0","0","0","0","3","8","2","1","2","1","2","5"
"hsa-mir-1295b","0","0","0","0","0","2","0","0","1","0","0","0","2","1","2","2","1","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0"
"hsa-mir-1296","31","15","6","11","2","27","22","28","52","22","38","16","73","19","12","19","31","20","32","23","43","2","16","17","22","3","16","55","23","9","24","32","6","6","9"
"hsa-mir-1297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1298","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1301","8","10","4","12","5","14","7","13","35","9","11","4","65","20","21","30","20","12","10","94","45","4","30","4","36","27","33","86","28","56","21","120","14","51","70"
