"","TCGA-HU-A4GH-11A-11R-A360-13","TCGA-CG-5721-11A-01R-1602-13","TCGA-IP-7968-11A-01R-2203-13","TCGA-HU-A4GN-11A-12R-A252-13","TCGA-HU-A4G3-11A-11R-A24L-13","TCGA-FP-7735-11A-01R-2055-13","TCGA-FP-7829-11A-01R-2055-13","TCGA-HU-8238-11A-01R-2343-13","TCGA-CG-5720-11A-01R-1602-13","TCGA-IN-7806-11A-01R-2055-13","TCGA-HU-A4HB-11A-11R-A252-13","TCGA-BR-7715-11A-01R-2055-13","TCGA-BR-7703-11A-01R-2055-13","TCGA-BR-6802-11A-01R-1884-13","TCGA-IN-AB1V-11A-11R-A415-13","TCGA-BR-7851-11A-01R-2203-13","TCGA-BR-7717-11A-01R-2055-13","TCGA-BR-6457-11A-01R-1802-13","TCGA-HU-A4GH-11X-11R-A24L-13","TCGA-CG-5734-11A-01R-1602-13","TCGA-IN-8462-11A-01R-2343-13","TCGA-BR-6453-11A-01R-1802-13","TCGA-IN-8663-11A-01R-2402-13","TCGA-CG-5725-11A-01R-1602-13","TCGA-HU-A4GC-11A-11R-A252-13","TCGA-BR-6454-11A-01R-1802-13","TCGA-CG-5720-01A-11R-1602-13","TCGA-FP-7735-01A-11R-2055-13","TCGA-HU-8238-01A-11R-2343-13","TCGA-BR-7703-01A-11R-2055-13","TCGA-IP-7968-01A-11R-2203-13","TCGA-CG-5725-01A-11R-1602-13","TCGA-HU-A4GN-01A-11R-A252-13","TCGA-HU-A4HB-01A-12R-A252-13","TCGA-BR-6453-01A-11R-1802-13","TCGA-BR-6802-01A-11R-1884-13","TCGA-IN-8462-01A-11R-2343-13","TCGA-BR-7715-01A-11R-2055-13","TCGA-IN-7806-01A-11R-2055-13","TCGA-HU-A4GH-01A-11R-A24L-13","TCGA-CG-5734-01A-11R-1602-13","TCGA-IN-AB1V-01A-21R-A415-13","TCGA-BR-7851-01A-11R-2203-13","TCGA-BR-6454-01A-11R-1802-13","TCGA-BR-6457-01A-21R-1802-13","TCGA-FP-7829-01A-11R-2055-13","TCGA-HU-A4G3-01A-11R-A24L-13","TCGA-CG-5721-01A-11R-1602-13","TCGA-HU-A4GC-01A-12R-A252-13","TCGA-IN-8663-01A-11R-2402-13","TCGA-BR-7717-01A-11R-2055-13"
"hsa-mir-4417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4419a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4419b","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4421","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-4422","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4423","0","4","0","0","0","0","0","0","1","2","1","1","2","0","0","1","0","1","3","0","0","1","0","0","0","1","1","1","0","1","0","0","0","2","6","0","0","1","0","0","3","1","0","0","0","0","1","1","1","0","0"
"hsa-mir-4424","0","0","0","0","1","2","0","0","2","0","0","1","1","5","1","0","2","1","0","0","0","1","1","2","0","4","0","1","0","2","0","0","0","2","3","1","0","0","3","0","1","0","1","0","0","0","2","0","0","1","0"
"hsa-mir-4425","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4426","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-4427","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4428","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-4429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4430","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-4432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4433a","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","2","1","0","2","0","0","0","0","1","0","0"
"hsa-mir-4433b","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4434","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","2","0","0","2","2","2","1","1","0","0","1","3","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-4435-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"hsa-mir-4435-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"hsa-mir-4436a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4436b-1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4436b-2","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4441","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4442","0","1","0","0","0","1","0","1","0","0","0","0","2","3","1","1","4","0","0","1","0","1","0","2","0","1","1","6","1","1","0","2","1","1","4","0","0","1","2","0","1","0","0","3","1","1","0","3","0","2","5"
"hsa-mir-4443","0","0","1","0","1","0","3","2","0","0","0","5","5","2","0","0","6","0","0","1","0","0","0","1","0","0","2","3","0","2","1","1","0","1","1","0","1","1","4","3","0","0","1","1","0","3","1","2","1","2","3"
"hsa-mir-4444-1","1","0","0","1","1","1","2","0","1","2","2","1","0","1","1","0","1","1","1","1","0","1","0","1","1","1","1","3","0","1","1","1","0","0","1","2","2","3","1","0","4","0","0","7","4","2","0","1","0","1","1"
"hsa-mir-4444-2","4","5","1","1","0","4","3","3","0","1","1","1","3","4","4","1","6","4","0","2","0","3","1","2","0","1","3","1","2","1","0","2","0","2","8","4","0","3","4","2","1","0","3","15","2","1","1","8","4","2","0"
"hsa-mir-4445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-4446","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","1","0","1","0","0","0","1","2","0","0","1","1","0","0","0","5","2","2","0","0","5","3","0","0","0","2","1","1","1","4","1","0"
"hsa-mir-4447","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0"
"hsa-mir-4449","0","1","0","0","0","0","0","0","0","0","0","0","2","3","0","0","1","4","0","0","0","4","0","0","1","0","8","2","1","3","17","9","1","3","3","3","2","0","0","0","6","0","9","2","0","1","1","4","0","0","0"
"hsa-mir-4450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4451","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4453","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","1","0","3","1","1","0","3","0","0","0","0","2","3","0","0","0","0","1","2","6","2","0","0","1","0","3","1","0","8","1","1","0","3","0","1","1"
"hsa-mir-4454","0","0","0","1","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","5","0","0","1","7","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","2","0","0","0"
"hsa-mir-4455","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4457","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"hsa-mir-4458","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4459","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4461","0","2","1","0","0","0","0","0","3","2","1","0","3","6","0","0","0","1","0","1","0","3","0","2","0","1","2","3","1","6","1","6","7","0","21","0","13","12","4","5","2","3","0","6","1","7","1","6","0","2","2"
"hsa-mir-4462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4463","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4466","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0"
"hsa-mir-4467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4469","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"hsa-mir-4470","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","1","2","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","2","1"
"hsa-mir-4471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4472-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4472-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4473","1","2","0","1","0","1","0","2","0","1","0","1","2","2","1","1","2","1","0","1","0","1","0","7","0","0","0","0","0","3","1","1","5","1","1","5","3","0","2","0","1","0","1","8","2","1","0","2","0","0","0"
"hsa-mir-4474","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","0","1","0","2","0","0","0","1","1","1","2","0","0","0"
"hsa-mir-4475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4477a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4477b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4478","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"hsa-mir-4479","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","2","0","3","0","0","1","1","1","0","0"
"hsa-mir-448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0"
"hsa-mir-4480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4481","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4482","0","1","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4483","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4484","0","5","1","0","0","1","3","0","1","0","0","3","2","11","0","0","0","1","0","0","0","1","2","1","0","4","3","4","0","2","0","0","0","0","5","3","2","0","1","1","2","0","0","4","0","3","0","0","0","1","1"
"hsa-mir-4485","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4486","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4487","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"hsa-mir-4488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-4489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4490","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4491","0","2","0","1","0","1","2","6","5","0","0","23","5","6","2","1","18","3","0","3","0","5","2","4","0","6","1","9","3","2","0","0","1","7","7","4","3","0","3","0","10","3","3","8","2","1","2","5","2","0","4"
"hsa-mir-4492","0","0","0","0","0","0","0","0","1","0","0","0","1","2","1","1","0","0","0","0","0","1","0","1","0","0","1","2","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
"hsa-mir-4493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0"
"hsa-mir-4495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4496","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-4497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4498","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4499","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-449a","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","4","1","0","0","5","1","0","0"
"hsa-mir-449b","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","1","1","0","0","1","0","0","0"
"hsa-mir-449c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-4500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4501","0","0","1","0","1","5","4","1","0","0","0","0","2","2","4","0","0","0","2","1","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4505","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1"
"hsa-mir-4506","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4507","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4508","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4509-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4509-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4509-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-450a-1","0","30","5","2","1","0","4","16","19","1","0","3","5","35","3","5","5","22","2","36","0","12","2","5","8","6","64","9","4","7","3","11","8","20","91","29","12","10","3","3","37","17","1","29","27","10","9","39","14","2","11"
"hsa-mir-450a-2","1","42","3","9","1","0","0","22","23","5","2","2","12","25","6","7","2","16","2","30","1","17","3","7","7","9","63","11","5","9","8","9","9","20","65","30","8","11","5","6","47","12","0","50","31","15","19","34","7","5","9"
"hsa-mir-450b","6","31","10","3","5","2","22","39","48","1","7","10","12","83","11","17","7","53","4","22","3","15","24","20","20","12","119","17","15","18","20","50","13","22","142","51","26","26","18","12","57","21","18","58","88","39","24","47","11","22","10"
"hsa-mir-4510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-4511","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0"
