"","TCGA-DD-A3A1-11A-11R-A214-13","TCGA-EP-A12J-11A-11R-A130-13","TCGA-DD-A39V-11A-11R-A214-13","TCGA-DD-A11A-11A-11R-A130-13","TCGA-DD-A11C-11A-11R-A130-13","TCGA-DD-A116-11A-12R-A25G-13","TCGA-DD-A3A3-11A-11R-A22J-13","TCGA-BC-A10T-11A-11R-A130-13","TCGA-BC-A10W-11A-11R-A130-13","TCGA-DD-A119-11A-11R-A130-13","TCGA-BC-A10Y-11A-11R-A130-13","TCGA-DD-A11B-11A-11R-A130-13","TCGA-DD-A1EG-11A-11R-A214-13","TCGA-DD-A3A8-11A-11R-A22J-13","TCGA-DD-A3A4-11A-11R-A22J-13","TCGA-EP-A26S-11A-12R-A16S-13","TCGA-ES-A2HT-11A-11R-A17X-13","TCGA-FV-A2QR-11A-11R-A214-13","TCGA-DD-A1EL-11A-11R-A154-13","TCGA-DD-A1EH-11A-11R-A130-13","TCGA-BC-A10U-11A-11R-A130-13","TCGA-DD-A114-11A-12R-A130-13","TCGA-DD-A1EE-11A-11R-A130-13","TCGA-G3-A3CH-11A-11R-A22J-13","TCGA-DD-A1EI-11A-11R-A130-13","TCGA-BD-A2L6-11A-21R-A214-13","TCGA-EP-A3RK-11A-11R-A22J-13","TCGA-W5-AA2Q-11A-11R-A41D-13","TCGA-W5-AA2I-11A-11R-A41D-13","TCGA-ZU-A8S4-11A-11R-A41D-13","TCGA-W5-AA31-11A-11R-A41D-13","TCGA-W5-AA30-11A-11R-A41D-13","TCGA-EP-A12J-01A-11R-A130-13","TCGA-EP-A3RK-01A-11R-A22J-13","TCGA-DD-A1EH-01A-11R-A130-13","TCGA-DD-A3A8-01A-11R-A22J-13","TCGA-DD-A3A4-01A-11R-A22J-13","TCGA-EP-A26S-01A-11R-A16S-13","TCGA-DD-A114-01A-11R-A130-13","TCGA-DD-A119-01A-11R-A130-13","TCGA-BC-A10W-01A-11R-A130-13","TCGA-DD-A1EG-01A-11R-A214-13","TCGA-DD-A3A3-01A-11R-A22J-13","TCGA-DD-A11B-01A-11R-A130-13","TCGA-DD-A116-01A-11R-A130-13","TCGA-DD-A11A-01A-11R-A130-13","TCGA-BC-A10Y-01A-11R-A130-13","TCGA-BC-A10T-01A-11R-A130-13","TCGA-BD-A2L6-01A-11R-A214-13","TCGA-DD-A39V-01A-11R-A214-13","TCGA-DD-A3A1-01A-11R-A214-13","TCGA-FV-A2QR-01A-11R-A214-13","TCGA-DD-A1EE-01A-11R-A130-13","TCGA-G3-A3CH-01A-11R-A22J-13","TCGA-ES-A2HT-01A-12R-A17X-13","TCGA-DD-A1EL-01A-11R-A154-13","TCGA-DD-A11C-01A-11R-A130-13","TCGA-BC-A10U-01A-11R-A130-13","TCGA-DD-A1EI-01A-11R-A130-13","TCGA-ZU-A8S4-01A-11R-A41D-13","TCGA-W5-AA2Q-01A-11R-A41D-13","TCGA-W5-AA30-01A-31R-A41D-13","TCGA-W5-AA31-01A-11R-A41D-13","TCGA-W5-AA2I-01A-32R-A41D-13"
"hsa-mir-155","1760","1864","444","991","249","591","1477","926","1069","507","998","1751","1025","361","552","980","997","2845","731","1216","782","3322","2510","2006","464","5751","604","843","100","444","194","913","241","2557","651","143","102","459","10123","710","755","3725","293","286","619","243","445","763","512","2842","986","1308","288","1968","405","285","194","482","1266","4412","223","924","345","862"
"hsa-mir-1587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-15a","1140","785","1046","866","307","913","1893","930","759","565","821","832","1105","891","611","892","354","2326","716","1022","807","813","811","1004","526","1547","1031","1741","312","1521","659","921","726","596","701","530","182","484","1981","602","527","1907","1152","466","541","571","672","209","653","1478","1526","982","538","1270","265","641","84","632","474","676","839","701","598","2503"
"hsa-mir-15b","874","1621","979","1284","647","429","1909","1519","1384","702","1026","1046","949","661","553","1109","294","1730","647","1425","1404","1683","1255","845","1299","2555","880","1126","187","1769","1022","1383","860","734","1493","284","124","687","4317","638","2267","1923","762","425","1236","1205","2514","1255","2153","1096","1917","1422","1225","1757","140","613","985","919","1418","1456","663","844","1929","2926"
"hsa-mir-16-1","1247","2846","1122","1813","934","713","2335","2571","1675","1089","1834","1982","1141","721","669","1749","507","2211","1326","2356","2318","2948","1536","1269","1223","2528","1015","1346","342","1200","663","1072","1410","666","853","370","357","1451","3050","831","1689","1780","755","314","1170","863","1609","586","1054","1132","1655","1309","677","1464","359","869","377","748","658","761","1214","914","666","2292"
"hsa-mir-16-2","1291","2940","1145","1857","943","737","2529","2645","1777","1132","1758","1982","1203","765","738","1707","502","2203","1259","2232","2424","2994","1581","1171","1295","2496","987","1405","355","1133","642","1105","1362","775","895","371","358","1427","3125","822","1620","1792","726","335","1254","885","1696","542","1064","1108","1653","1328","718","1500","328","843","396","762","703","814","1209","946","714","2349"
"hsa-mir-17","4466","3701","6226","3133","1320","5702","6624","4140","3201","2048","3611","3444","6544","5407","3335","3625","2355","7580","3170","4376","3856","2983","3473","5847","3102","6526","6517","7193","1905","6238","4205","5496","1376","1511","6160","1140","2558","1136","3979","4398","5428","14251","8421","4843","854","5956","3182","987","4393","6021","5712","4297","2248","5299","1267","4848","1672","1316","3763","2323","2589","2100","3531","6992"
"hsa-mir-181a-1","2854","3354","3264","2574","1009","2696","5422","2628","2050","1526","2879","2473","3024","2620","2114","1856","2158","8367","1987","2447","2338","3335","3151","3313","1441","8305","2720","5735","951","5951","2454","3745","907","2646","7131","848","392","6329","8858","1915","1735","5078","1767","1136","1411","1484","1140","1538","2346","3777","2090","3554","5445","5222","1501","562","1197","527","3071","8287","15131","2617","5842","24064"
"hsa-mir-181a-2","4803","7274","7210","4887","2573","4194","10681","6711","4514","2905","5727","7153","5807","5806","3390","3946","3914","17101","4355","5132","6489","8299","5793","7499","3656","12752","5558","8204","2352","9149","4841","7587","1617","2714","32332","1330","555","8017","16079","3879","2834","7838","2399","2961","2386","2087","3594","5372","13698","4459","4895","6777","5043","10064","1927","1025","2956","1103","10227","10975","44094","4827","10478","30910"
"hsa-mir-181b-1","419","811","403","390","171","307","762","507","324","259","431","560","377","338","266","279","322","1139","332","349","430","707","486","442","253","839","300","678","153","750","310","582","190","278","2137","113","88","506","1689","471","414","849","252","282","313","238","233","387","463","518","302","623","903","954","306","122","212","90","737","1540","3995","601","930","5118"
"hsa-mir-181b-2","372","677","408","357","153","270","647","451","308","249","409","486","369","285","231","250","292","966","313","344","380","660","465","464","230","906","336","698","148","801","261","566","154","266","2186","95","74","450","1594","443","421","764","270","248","257","215","260","364","414","466","279","654","729","921","288","93","214","87","808","1454","4146","558","941","5328"
"hsa-mir-181c","181","267","171","214","57","130","244","136","107","126","144","220","244","92","87","106","209","434","118","144","191","271","154","237","74","342","120","281","44","351","116","218","29","68","179","20","73","47","747","145","86","383","98","33","129","41","56","116","72","188","43","291","30","179","81","34","24","60","197","897","867","270","597","2451"
"hsa-mir-181d","30","62","29","30","7","20","40","35","23","7","33","26","27","14","12","20","23","33","28","24","22","41","34","36","17","70","14","30","5","53","16","29","24","8","68","4","16","2","201","51","26","47","15","12","12","13","14","30","19","32","4","55","7","35","23","8","7","11","86","209","194","69","156","757"
"hsa-mir-182","4305","22786","3404","4487","2452","3969","12376","5662","10128","3036","4533","7957","4336","2761","3788","6012","12084","14194","6829","4148","5200","19308","7815","4938","4179","5112","3876","2078","1297","1983","2180","2763","19596","11133","483586","461","4479","38629","190257","13127","3356","7629","4490","10682","4004","157899","108125","75031","1139","960","44620","110398","18765","11030","11801","1236","40889","110688","10636","17563","54448","68489","47459","126035"
"hsa-mir-1825","1","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-1827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-183","1051","6773","730","1478","691","840","2505","1730","3016","1011","1098","2400","873","715","935","1534","3210","3847","1574","983","1354","5747","2326","1130","1196","1482","830","475","357","571","489","653","4187","4310","264998","108","1181","14885","120767","5342","1742","3846","2292","5595","1553","34804","41133","23131","409","371","11709","59840","7078","3008","3846","373","13443","53764","6415","6027","16064","22641","21034","37290"
"hsa-mir-184","1","78","7","0","1","4","2","4","0","1","2","29","22","14","0","0","0","0","2","0","7","6","1","1","3","1","1","2","4","10","13","1","204","1","31","6","0","51","11","22","1","0","5","8","109","3","61","20","2","0","1","0","0","1","4","2","1","80","13","0","5","2","88","3"
"hsa-mir-185","447","662","508","546","223","355","640","482","525","418","384","517","418","479","339","468","289","1008","329","458","394","515","467","334","204","610","403","489","129","840","275","273","472","341","690","195","127","256","1117","534","555","1083","608","810","278","702","385","173","226","538","358","822","1195","466","226","594","161","380","595","425","149","352","330","783"
"hsa-mir-186","1703","2814","1684","1405","891","1067","1954","2041","1550","1591","1807","2036","1448","1129","1029","1745","919","2644","1484","1966","1695","2193","1975","1455","1084","2512","1439","1124","406","1564","732","1202","1331","651","951","598","563","835","2542","1010","3535","2119","945","741","1016","1621","1680","1474","1491","1228","3222","1878","1153","1587","445","1559","1036","1533","1186","701","629","1587","767","1768"
"hsa-mir-187","33","39","27","65","8","8","156","23","13","4","27","27","18","18","8","19","3","47","15","34","28","13","13","12","7","24","55","16","8","16","11","28","0","2","8","5","0","2","100","1","1","3","1","1","11","28","4","6","0","1","0","0","0","3","1","2","0","1","50","35","136","216","57","78"
"hsa-mir-188","10","24","21","22","7","8","22","13","13","18","13","16","14","17","9","7","12","49","10","22","20","22","18","19","9","12","12","9","14","16","13","13","18","22","27","17","17","10","40","20","36","68","31","11","11","5","6","18","26","22","23","58","21","27","16","10","4","10","41","6","14","14","12","24"
"hsa-mir-18a","50","72","72","50","25","46","107","43","49","18","32","37","65","24","39","57","28","108","38","54","47","79","24","61","24","86","65","39","27","31","25","39","15","42","90","8","23","11","64","33","62","247","156","51","15","51","39","13","58","85","99","69","16","46","17","73","23","11","65","36","27","47","61","149"
"hsa-mir-18b","3","11","9","4","2","1","14","5","2","0","3","3","2","0","4","3","2","10","2","3","3","8","0","1","0","8","3","2","0","0","1","0","0","1","3","1","4","1","14","2","4","17","4","2","1","1","1","0","2","7","1","1","0","3","2","0","4","0","0","0","0","1","0","1"
"hsa-mir-1908","0","4","0","0","0","2","0","0","0","0","0","2","0","0","0","1","0","0","1","0","0","2","3","0","0","1","2","1","0","0","1","1","0","0","1","0","0","0","0","0","2","6","0","0","0","0","1","2","1","0","4","1","0","1","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-1909","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-190a","16","68","19","24","12","10","59","28","18","11","23","32","20","12","15","18","7","48","13","26","29","39","22","7","15","11","19","13","4","14","6","20","7","8","32","2","8","3","40","6","16","12","7","118","12","20","13","13","6","5","5","10","15","21","3","3","33","11","19","4","13","10","6","30"
"hsa-mir-190b","3","1","0","0","0","1","3","0","1","0","0","0","1","0","3","0","0","0","0","1","4","0","0","1","1","1","0","3","0","1","1","0","0","6","0","3","2","0","35","0","5","8","7","4","9","6","1","2","3","1","4","20","2","3","2","6","0","33","0","1","20","1","0","1"
"hsa-mir-191","3239","6022","3115","3201","2110","1482","4031","5458","3293","2846","4258","4291","3583","2082","1671","3908","1245","4509","3165","5050","4601","5906","4835","3202","3219","7990","2888","2473","1141","3599","2411","4349","2056","1169","3605","948","417","3400","4200","2137","1810","3838","2748","2144","2446","2650","2512","1855","4080","2002","3787","2545","1691","3427","607","2706","2349","1573","2635","2544","1621","2130","2860","2489"
"hsa-mir-1910","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1"
"hsa-mir-1911","0","0","0","0","0","0","0","0","0","0","133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","5","2","0","0","0","0","0","1","0","0","1","0","226","0","0","0","0","0","0"
"hsa-mir-1912","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0"
"hsa-mir-1913","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-1914","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","3","0","0","0","0","0","0","0","1","0","0","1"
"hsa-mir-1915","0","4","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","2","1","4","0","0","0","0","0","0","1","1","1","0","0","9","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"hsa-mir-192","231582","437807","259932","204797","148138","170918","282622","436493","242778","275241","258375","311496","291595","244384","140710","229970","150001","247589","216737","330047","335869","332576","304262","259638","183650","150099","269488","257509","104438","326162","179929","233251","203833","42886","285373","102910","154194","102080","107320","170967","164317","227896","160458","522840","127190","318015","213146","124665","307109","133412","159468","307571","147560","174079","75183","93864","159447","114431","83923","29077","28486","26844","25330","70886"
"hsa-mir-193a","2287","7791","4527","3988","2448","1874","2750","6634","3589","3937","4107","4044","4465","3716","3070","4172","2192","2872","4119","5240","4965","4981","3803","3424","3198","4204","4776","4317","1432","6335","2490","2738","2503","790","6257","1032","1780","1790","4190","2956","1903","2364","2819","4601","1506","5341","2714","1289","3485","1675","2246","6945","1239","4991","962","564","3236","1282","4030","2759","1804","1157","1480","3499"
"hsa-mir-193b","1199","1273","1324","891","633","769","769","1347","1358","1421","894","832","1037","1015","486","1120","288","843","646","2219","1423","1055","889","1165","691","1317","1264","680","444","1476","685","620","1133","685","584","344","494","853","553","500","1329","2205","336","453","711","1263","673","925","2631","920","5147","1308","522","1090","142","930","401","655","304","215","120","140","225","1155"
"hsa-mir-194-1","33806","53943","54788","39865","26400","29509","52989","70724","37743","43149","52967","51845","53660","57216","27544","48886","24703","47609","33168","70858","55995","39311","49696","43325","30352","43201","50285","57631","17136","75691","31004","33897","41983","6975","81138","19452","23744","58853","24630","45363","20613","48040","41474","136792","18254","85702","43173","28522","54904","34379","36927","60082","33866","32666","12181","10990","43997","31312","21076","5979","4714","3694","5131","34877"
"hsa-mir-194-2","38805","57125","60876","43331","27976","35498","57999","74578","40912","46908","56557","54843","59172","61860","30040","53624","27158","52877","36220","76470","59525","41483","52972","47694","32322","48676","56029","63036","18884","82819","34023","37339","44004","7757","84399","21433","25739","62498","27354","49002","22156","52573","46524","144234","19347","89987","46817","30037","62025","37207","41041","65287","36351","35152","13436","12969","47521","34006","23088","6436","5060","4370","5483","39658"
"hsa-mir-195","459","1154","306","352","252","187","728","814","271","252","819","1047","291","138","210","559","168","786","403","761","945","791","490","364","318","577","292","448","78","368","126","312","421","74","331","50","17","362","1080","155","349","167","41","124","350","148","942","583","103","226","87","128","66","462","78","22","87","17","380","58","635","251","85","346"
"hsa-mir-196a-1","4","3","3","3","2","2","0","1","2","0","2","3","2","1","0","4","1","13","1","2","0","8","1","7","1","2","2","5","0","3","3","6","1","0","1","0","0","0","14","3","0","2","85","2","1","3","2","105","0","1","1","0","2","1","1","3","0","2","1","3","4","4","2","2"
"hsa-mir-196a-2","1","8","0","2","3","2","1","0","0","1","2","1","7","2","0","3","0","13","0","0","0","9","2","5","1","2","3","5","0","6","0","6","1","1","1","0","0","0","13","4","0","5","90","2","1","3","2","91","1","1","1","4","0","0","0","2","0","2","0","2","1","3","0","6"
"hsa-mir-196b","43","69","31","44","20","30","121","107","60","33","61","71","26","18","38","49","23","101","46","45","53","97","103","40","42","27","58","33","9","25","17","52","46","38","24","446","5","354","2804","50","30","41","398","1127","86","47","20","15","13","25","13","547","11","28","32","50","7","146","9","33","341","1157","43","860"
"hsa-mir-197","2002","1437","2005","2246","1224","916","3165","3286","1421","1880","2060","1614","1851","1494","1343","3090","675","2948","1382","2326","2957","1858","1507","1460","1025","4062","1671","1435","506","1741","1293","1656","449","1595","760","1108","239","960","2728","815","5264","2363","839","424","1537","2621","1075","1307","3979","1631","2681","2592","795","1706","362","2393","790","1760","899","1318","1206","1591","1037","2047"
"hsa-mir-1972-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1972-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1976","48","78","48","43","15","43","63","36","33","57","38","39","38","39","31","25","77","86","22","27","41","82","36","50","19","121","37","39","15","53","32","29","19","43","10","17","3","17","132","27","21","53","26","8","19","12","41","15","46","34","23","20","28","49","13","11","18","42","25","38","18","14","16","23"
"hsa-mir-198","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-199a-1","11939","17359","7596","6416","2343","6926","18689","8047","4301","3081","11349","15548","9214","5024","7145","6421","6558","31238","6327","8002","7928","8653","6992","8045","4540","13240","9755","14866","3720","11207","4152","12560","254","1184","3071","303","248","956","19054","4378","807","8500","266","607","1514","324","508","4753","1806","2067","106","5176","197","7382","3642","109","246","100","4390","4300","9264","11294","5289","33862"
"hsa-mir-199a-2","18415","30236","11568","10549","4012","10136","29359","14101","7422","4889","19156","27183","14057","7795","10862","10392","10497","47492","9983","13305","13356","15080","11502","13321","7369","18496","15332","23469","5930","17261","6202","20190","470","1799","4891","566","394","1370","32560","6639","1373","13754","447","1071","2492","504","766","7680","2686","3401","154","9005","337","11171","5831","157","411","175","6865","7051","15133","17338","8669","48278"
"hsa-mir-199b","19642","38879","12151","12183","4953","9613","32211","17723","8630","5557","22525","35301","15055","8206","11345","11710","11874","48496","11131","15260","16665","19318","13602","15260","8963","15533","16439","26525","6629","18572","6987","22769","572","1986","5572","696","423","1619","41735","7463","1747","16161","499","1227","3077","615","822","9179","2961","4034","178","10834","416","11152","6560","156","499","204","7806","8689","17938","18886","9934","47360"
"hsa-mir-19a","198","71","159","72","49","349","343","124","88","65","117","62","196","151","152","142","71","241","70","132","110","67","76","161","85","103","224","180","48","167","94","147","33","69","181","47","101","25","80","88","80","360","170","148","10","96","76","28","125","216","145","126","49","126","29","119","35","32","76","68","60","196","130","334"
"hsa-mir-19b-1","673","260","523","314","142","813","1143","406","237","189","403","277","645","416","397","608","198","765","339","461","453","262","280","543","297","415","685","546","130","458","280","537","114","123","711","83","268","195","368","260","196","925","495","322","58","366","173","86","340","486","564","430","176","412","109","248","149","110","282","233","338","362","393","690"
"hsa-mir-19b-2","618","207","425","272","148","664","999","317","172","159","320","225","502","322","344","493","147","673","277","427","384","188","246","440","227","346","549","427","121","374","221","414","73","146","619","83","217","200","338","194","165","847","431","275","57","376","147","89","295","435","520","375","148","288","99","249","139","127","281","173","295","309","321","611"
"hsa-mir-200a","780","3946","725","362","170","561","461","634","821","373","428","1100","1274","780","266","408","2462","1436","483","380","893","2956","1026","1034","504","619","603","472","555","837","429","768","675","21","4110","194","6","210","1780","162","168","861","791","552","27","14","12","80","180","68","134","24","312","247","27","97","5","96","362","2893","2689","2441","5562","12403"
"hsa-mir-200b","919","2379","766","267","157","593","606","489","666","332","418","806","1255","783","241","539","1480","1640","521","331","907","1842","778","1058","426","768","728","533","406","1044","327","559","476","21","5010","170","5","299","2461","144","91","974","1039","441","25","12","8","95","165","78","134","8","225","260","33","114","3","71","459","2002","3016","2270","4240","13560"
"hsa-mir-200c","199","1526","243","281","92","386","309","155","173","69","299","336","1673","286","205","219","1499","195","234","115","745","1360","117","438","88","316","305","261","85","218","134","543","62","78","97864","22","15","115","1304","184","195","197","1347","228","177","305","235","109","40","69","92","139","80","280","188","138","47","83","351","653","3891","29726","280","4632"
"hsa-mir-202","0","2","2","4","0","0","8","4","0","0","1","0","0","0","1","2","0","3","2","1","9","1","3","0","0","0","0","0","1","6","0","4","0","0","4","0","0","0","7","2","0","0","2","1","1","0","0","4","1","0","0","0","1","2","0","0","1","0","11","1","1","8","0","0"
"hsa-mir-203a","8645","7351","6713","4928","5018","4882","7503","7370","5592","10532","5936","5583","7646","3354","2893","5697","3161","4037","3873","8278","8087","3747","5420","6518","4378","6336","6612","7920","3314","8835","6119","10316","819","482","3805","56","2428","136","2739","18940","750","5829","6204","11687","5064","8984","2130","682","4521","3033","743","194","542","11188","15324","367","2157","75","3365","5693","16455","9882","64062","17031"
"hsa-mir-203b","3","9","0","1","0","1","3","0","4","2","1","2","0","0","0","2","8","9","3","2","0","5","1","1","2","0","1","1","1","4","1","1","1","0","0","0","0","0","20","434","0","0","145","1","42","0","0","0","0","0","0","0","0","3","0","1","0","0","3","32","12","34","192","5"
"hsa-mir-204","290","166","111","143","78","77","459","191","63","95","214","182","185","63","127","206","71","566","129","184","251","127","149","142","93","122","141","137","58","137","68","172","1515","342","66","344","11","2084","365","63","36","77","76","43","463","51","28","82","111","951","101","57","372","109","62","403","16","38","82","4","38","89","23","63"
"hsa-mir-205","1","0","0","0","0","5","15","1","0","0","0","0","0","11","0","0","48","0","2","0","4","0","0","3","0","0","9","2","0","1","2","0","0","2","0","0","0","4","2","0","1","5","0","0","0","0","0","0","5","2","2","2","0","1","56","0","0","60","0","2","1","2","0","4"
"hsa-mir-2052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-206","2","1","2","0","0","1","2","2","4","2","0","0","0","3","2","2","0","6","1","4","1","4","2","1","0","4","1","0","2","1","6","1","9","0","3","0","0","1","4","3","0","2","4","6","32","1","1","0","1","0","0","3","0","3","0","0","0","1","1","0","5","2","9","2"
"hsa-mir-208a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-208b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-20a","2018","1115","2709","1193","432","3362","3558","1656","1410","750","1704","1200","3022","2477","1680","1933","669","4198","1632","1883","1575","853","1334","2341","1157","3158","3145","4735","725","3117","1796","2843","483","678","2507","594","1291","723","1152","1507","1923","5973","3852","1625","323","2435","1226","375","1717","2522","2780","1530","875","2607","339","2478","906","496","1240","1316","1174","1020","1623","4662"
"hsa-mir-20b","42","38","76","47","17","55","173","22","46","18","29","31","82","62","72","27","29","176","30","23","11","33","24","48","18","99","57","58","15","76","17","41","8","46","10","9","13","10","399","11","189","39","53","18","7","5","16","18","23","36","20","21","4","57","9","30","28","8","25","23","17","140","51","76"
"hsa-mir-21","660127","558615","421561","401640","117179","364215","540022","310088","640060","355543","397246","458817","493643","317995","438007","348925","555414","1904370","390241","402164","309804","589204","591675","396316","228735","678659","355503","688637","117465","594840","297232","460901","536065","974300","1009130","187723","760975","282999","2901062","1163789","1415276","1886535","2563170","606150","471171","1046807","496137","365893","185871","1942107","1402406","1496286","945162","841982","673534","550091","269852","964977","1218858","1940521","1250686","1419130","2729753","5531438"
"hsa-mir-210","1262","1143","2403","733","914","1671","1700","1210","1118","2462","1365","1924","2509","1780","1471","1284","880","2144","1054","1624","1704","1060","1564","2470","788","1136","2782","2184","1694","2533","1580","847","116","450","1284","648","977","725","269","378","2668","834","1452","477","132","991","1378","171","993","621","12203","2684","618","1889","184","841","364","4033","137","6272","5119","1067","933","2709"
"hsa-mir-211","5","0","1","5","1","0","8","2","0","0","5","0","3","3","0","9","6","3","3","4","1","0","0","3","0","4","0","5","0","5","0","2","1","0","1","2","0","0","0","9","4","1","6","17","8","93","1","1","9","0","36","0","1","40","1","0","0","135","2","0","0","0","0","3"
"hsa-mir-2110","13","21","16","10","2","11","2","12","14","10","6","4","5","5","6","11","8","11","15","8","15","19","10","8","6","14","10","7","3","12","5","2","5","2","17","3","4","14","22","7","10","14","8","12","9","12","6","9","9","6","20","4","8","12","2","7","7","12","11","4","4","2","5","6"
"hsa-mir-2113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2114","4","4","0","3","0","1","13","6","1","0","2","5","5","3","2","7","1","5","3","4","4","4","2","5","1","0","0","6","0","2","3","3","60","128","1","24","0","53","14","2","0","1","14","1","127","3","0","4","0","18","4","14","4","1","0","4","0","32","0","1","0","3","1","1"
"hsa-mir-2115","2","0","0","0","0","0","2","1","0","0","2","0","0","0","0","8","0","3","1","0","1","1","1","0","1","0","0","0","0","0","1","1","7","1","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","5","4","0","0","2","0"
