"","TCGA-DD-A1EC-11A-11R-A130-13","TCGA-DD-A118-11A-11R-A130-13","TCGA-BC-A10R-11A-11R-A130-13","TCGA-BD-A3EP-11A-12R-A22J-13","TCGA-FV-A23B-11A-11R-A16S-13","TCGA-DD-A3A6-11A-11R-A22J-13","TCGA-BC-A10X-11A-11R-A130-13","TCGA-DD-A3A2-11A-11R-A214-13","TCGA-DD-A39Z-11A-21R-A214-13","TCGA-FV-A3I0-11A-11R-A22J-13","TCGA-BC-A10Z-11A-11R-A130-13","TCGA-DD-A113-11A-12R-A130-13","TCGA-DD-A1EJ-11A-11R-A154-13","TCGA-DD-A3A5-11A-11R-A22J-13","TCGA-DD-A1EB-11A-11R-A130-13","TCGA-DD-A39W-11A-11R-A214-13","TCGA-BC-A10Q-11A-11R-A130-13","TCGA-FV-A3I1-11A-11R-A22J-13","TCGA-DD-A39X-11A-11R-A214-13","TCGA-BC-A216-11A-11R-A154-13","TCGA-BC-A110-11A-11R-A130-13","TCGA-DD-A11D-11A-12R-A130-13","TCGA-W5-AA34-11A-11R-A41D-13","TCGA-W5-AA2U-11A-11R-A41D-13","TCGA-W5-AA2R-11A-11R-A41D-13","TCGA-FV-A3I0-01A-11R-A22J-13","TCGA-BC-A216-01A-11R-A154-13","TCGA-FV-A3I1-01A-11R-A22J-13","TCGA-DD-A39Z-01A-11R-A214-13","TCGA-DD-A1EJ-01A-11R-A154-13","TCGA-DD-A3A2-01A-11R-A214-13","TCGA-DD-A113-01A-11R-A130-13","TCGA-BD-A3EP-01A-11R-A22J-13","TCGA-DD-A11D-01A-11R-A130-13","TCGA-BC-A110-01A-11R-A130-13","TCGA-DD-A118-01A-11R-A130-13","TCGA-FV-A23B-01A-11R-A16S-13","TCGA-DD-A39X-01A-11R-A214-13","TCGA-DD-A3A6-01A-11R-A22J-13","TCGA-BC-A10Z-01A-11R-A130-13","TCGA-DD-A1EC-01A-21R-A130-13","TCGA-BC-A10R-01A-11R-A130-13","TCGA-DD-A3A5-01A-11R-A22J-13","TCGA-DD-A39W-01A-11R-A214-13","TCGA-BC-A10Q-01A-11R-A130-13","TCGA-BC-A10X-01A-11R-A130-13","TCGA-DD-A1EB-01A-11R-A130-13","TCGA-W5-AA34-01A-11R-A41D-13","TCGA-W5-AA2R-01A-11R-A41D-13","TCGA-W5-AA2U-01A-11R-A41D-13"
"hsa-mir-188","33","23","16","5","33","6","14","5","10","9","14","6","9","7","30","13","21","14","16","19","20","14","9","4","10","43","23","27","23","24","9","21","18","18","17","14","7","25","54","11","11","12","11","51","12","14","20","10","15","10"
"hsa-mir-18a","92","58","27","29","46","31","60","30","53","75","46","22","26","40","43","73","37","52","39","42","50","74","16","20","30","102","195","201","26","153","6","28","208","25","43","62","61","104","109","37","40","46","43","158","37","47","14","27","29","41"
"hsa-mir-18b","6","10","2","1","6","0","4","2","4","4","5","0","3","0","3","0","1","4","2","4","6","3","0","0","0","2","9","6","2","3","0","1","8","0","0","2","3","4","14","0","3","5","0","15","0","1","3","0","1","3"
"hsa-mir-1908","1","0","5","0","4","1","1","0","0","1","0","4","0","1","6","1","0","0","1","0","1","0","0","0","3","0","0","1","0","0","0","0","1","0","3","0","0","0","1","4","0","0","0","0","0","1","1","0","0","0"
"hsa-mir-1909","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"hsa-mir-190a","39","28","26","1","18","5","21","9","5","10","22","5","32","9","28","20","15","13","24","9","22","17","5","15","11","43","11","14","17","8","3","7","8","19","46","26","10","15","38","15","10","31","13","105","40","25","25","6","6","10"
"hsa-mir-190b","3","1","1","0","2","0","2","1","0","0","1","0","2","0","1","4","0","0","0","1","2","1","1","1","2","51","11","1","1","3","0","29","0","0","2","2","0","1","1","3","5","1","0","4","0","9","0","10","1","0"
"hsa-mir-191","6495","4557","3997","1774","5170","1544","4463","2627","4655","3275","3590","2488","3494","1293","5846","3690","3902","3065","3213","4335","6433","4783","1428","2999","2566","3021","3490","3589","4257","9263","453","1446","3679","3732","3665","754","2407","1601","4495","1522","3815","3402","2064","4608","3726","3738","4297","1832","1217","1259"
"hsa-mir-1910","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","2","2","0","1","0","0","0","3","0","0","0","0","0"
"hsa-mir-1911","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","1","1","2","4","0","0","0","0","0","16","0","0","0","0","0","0","0","0"
"hsa-mir-1912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","4","0","1","0","0","0","0","0","0"
"hsa-mir-1913","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-1914","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","1","0","0","1","0","0","1","0","1","0"
"hsa-mir-1915","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2","5","1","3","0","4","0","2","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0"
"hsa-mir-192","408247","421550","348011","138364","221409","241662","255072","209579","283245","339547","189018","157786","250405","166973","527019","368262","284065","261051","265913","320730","435288","254191","218211","180799","272210","17428","194239","164880","280432","258598","67902","58652","114434","345139","225080","176343","212575","128051","1498","150633","97445","143281","561267","419703","187389","210968","186281","16972","34846","10923"
"hsa-mir-193a","6129","3817","4541","2243","4380","3275","3173","3057","4250","4148","2078","2495","3912","2410","8277","4233","4691","2732","3160","4340","4148","2894","2551","2064","4563","8042","1613","3109","3726","2930","1645","3462","2609","4257","5971","3610","2638","1742","1701","1542","1668","4011","2429","3794","2681","3436","5807","1099","2164","1931"
"hsa-mir-193b","1532","1171","846","635","1111","1055","965","1022","1780","2302","428","753","856","799","1541","1518","1051","1215","1203","1152","1213","1410","338","426","721","944","684","1434","359","939","566","1453","1047","1721","633","892","347","825","1051","577","180","4507","1939","1599","255","704","922","351","227","690"
"hsa-mir-194-1","84766","75267","53128","24670","48645","38579","40677","42046","70156","72301","28753","25983","40103","32803","95251","65575","47802","43022","59611","61004","77581","29706","27279","29223","49072","4403","27288","26636","69816","30616","10756","18592","25497","49487","62146","29156","54785","18828","577","36053","43741","32653","121170","119746","42979","36832","27983","7392","6890","2436"
"hsa-mir-194-2","90255","80254","55895","26809","51701","42467","44147","46936","78143","79162","30198","27840","43509","36191","101248","73968","50578","47224","67033","65643","82438","32127","29429","32616","53757","4744","29619","30191","74714","33261","11938","20144","29277","52348","66709","31991","58356","20789","623","39299","46220","34355","133221","131307","45253","38982","29446","7967","7333","2546"
"hsa-mir-195","1141","545","427","118","757","224","663","253","403","312","663","282","567","124","603","304","476","325","256","605","754","477","139","262","333","129","962","87","89","37","19","205","199","530","1602","149","31","197","888","45","136","311","454","37","192","702","192","71","201","197"
"hsa-mir-196a-1","3","0","11","0","1","4","2","1","1","1","5","0","1","0","2","1","0","2","1","1","0","2","0","4","0","2","0","1","0","0","1","0","0","0","1","751","0","2","0","0","23","3","0","2","8","2","1","1","6","4"
"hsa-mir-196a-2","4","1","5","1","3","2","3","1","2","2","3","0","1","0","5","0","3","1","1","0","1","6","1","7","6","3","0","1","0","2","0","0","0","0","0","798","1","3","2","0","18","0","0","0","2","4","0","0","6","2"
"hsa-mir-196b","110","70","48","27","148","23","107","21","39","46","69","33","131","27","89","63","35","53","27","74","38","44","16","28","26","3881","1077","27","44","48","16","963","485","27","63","112","798","21","118","153","36","1806","30","154","18","97","17","13","178","31"
"hsa-mir-197","3891","1742","1535","1081","2182","1440","2449","2082","3244","1996","1946","1312","2150","989","3415","2254","1903","2415","2113","2233","2539","1691","1107","1054","1268","3549","3308","1579","1493","2929","653","433","2240","1302","2099","615","586","643","3510","966","880","1470","1762","2185","2696","1944","3697","1904","883","1886"
"hsa-mir-1972-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1972-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1976","67","18","39","21","83","29","38","33","59","22","20","17","30","20","66","38","29","18","25","29","42","32","32","24","20","18","16","27","8","12","52","32","42","25","63","22","9","25","69","37","108","36","58","35","91","49","52","12","20","22"
"hsa-mir-198","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-199a-1","11529","4940","4123","3903","15358","4975","5031","6253","8164","5809","9190","2701","7171","3497","9005","6409","3932","7520","5548","6571","6092","4608","4888","6156","6750","16167","439","5599","407","216","686","497","4447","1804","19645","1172","151","4073","6516","61","727","4346","3480","1041","3684","11348","1026","3417","8659","9650"
"hsa-mir-199a-2","18317","8323","7118","5780","23922","7920","8503","9477","11673","9044","16179","4609","11255","5351","15322","9598","6715","11700","8072","10198","10197","7762","7850","9799","10624","25878","751","8551","650","344","1187","780","6601","2951","33207","1876","271","6434","10526","78","1135","7181","5212","1548","5632","18254","1812","5400","14703","15640"
"hsa-mir-199b","21473","9784","8901","5775","25638","8998","10054","9123","11053","9875","20028","5690","12643","5578","19096","10185","8374","12069","7768","11032","12932","9511","8879","10869","11982","30204","946","9363","733","389","1436","913","6963","3519","40427","2226","295","7411","11874","104","1223","8614","5464","1715","5991","21544","2191","6303","17039","18459"
"hsa-mir-19a","171","141","58","137","90","125","87","152","122","233","69","52","122","102","141","244","86","198","214","108","138","112","98","116","147","284","245","264","178","213","20","31","121","84","131","125","170","155","110","122","58","153","125","155","67","70","37","83","68","64"
"hsa-mir-19b-1","564","361","229","412","378","376","287","468","383","937","250","133","424","319","507","717","304","718","729","284","443","316","265","511","464","1042","461","672","579","569","49","177","359","192","488","269","490","674","269","227","160","469","254","467","268","227","125","253","288","177"
"hsa-mir-19b-2","448","312","155","407","331","324","209","388","325","836","207","119","373","297","402","599","239","650","633","258","376","281","250","433","381","933","388","574","540","541","27","132","322","147","441","233","451","574","288","188","136","420","174","458","238","168","81","225","231","161"
"hsa-mir-200a","493","508","366","534","990","446","412","382","215","539","837","224","431","246","705","369","333","355","344","327","411","466","673","311","429","15384","228","380","274","60","7","147","142","4","591","34","193","228","12","4","11736","3147","7","6","9172","514","8","3151","1190","3180"
"hsa-mir-200b","545","389","333","521","902","378","445","515","194","661","609","156","449","229","727","409","295","323","377","380","453","411","485","275","397","18759","202","269","250","71","4","134","135","7","767","21","119","157","16","4","5251","3412","7","11","10153","386","6","3998","1368","2330"
"hsa-mir-200c","416","128","83","166","253","127","240","200","114","110","282","317","552","68","228","168","76","412","257","192","148","57","83","154","136","396","185","123","196","76","84","514","72","122","463","68","40","132","93","81","199","160","168","136","223","136","149","131","198","600"
"hsa-mir-202","8","1","0","0","5","0","0","0","0","2","1","0","1","1","4","0","1","0","0","1","2","0","0","0","6","0","0","1","0","0","0","25","0","1","10","0","0","10","134","0","0","8","0","1","0","0","0","0","11","3"
"hsa-mir-203a","7015","6851","7254","2747","3951","3956","6310","7686","9229","10319","4344","4068","3632","6806","10315","8047","3847","8190","6998","11996","10616","2996","4970","5967","7745","14324","329","2469","2031","441","135","11877","1908","3071","9165","7534","1172","12194","2223","567","6812","15764","8240","57","29036","4000","383","4358","1739","5686"
"hsa-mir-203b","2","1","2","5","4","2","2","3","1","0","5","1","1","1","2","0","1","0","0","0","2","1","1","0","1","3","0","0","3","0","1","1","0","0","15","2","1","1","0","0","5","25","1","1","14","8","0","0","7","1"
"hsa-mir-204","325","131","155","91","230","212","145","173","194","169","107","71","168","96","245","233","150","222","236","115","166","104","110","127","135","15","124","48","97","9","12","19","69","126","524","38","118","76","4468","51","15","50","40","699","11","169","94","1","78","67"
"hsa-mir-205","0","0","0","0","0","4","0","0","0","11","2","0","0","0","0","1","0","9","0","0","0","0","0","2","2","2","1","3","2","1","27","0","0","0","0","0","0","57","0","0","1","0","0","0","0","0","1","0","1","0"
"hsa-mir-2052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-206","5","1","1","3","0","1","0","0","1","1","2","1","1","0","5","2","1","0","1","1","1","1","1","1","2","14","2","1","1","0","0","0","0","1","0","1","0","2","0","1","0","1","0","5","2","1","0","1","3","2"
"hsa-mir-208a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-208b","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-20a","1512","2014","751","1945","1485","1793","1118","2305","3124","3275","955","575","1632","1326","1996","3692","1159","2690","3735","1291","1310","1064","1744","3008","3007","2600","2542","4701","1886","4438","219","1035","2668","768","1391","1922","2765","2853","1279","1443","729","1691","2025","4433","1532","1140","366","1521","1327","1232"
"hsa-mir-20b","62","50","18","34","20","30","59","65","77","31","30","12","50","34","59","111","19","67","58","37","31","24","38","39","33","46","36","18","42","23","19","20","53","17","25","26","20","30","467","25","54","11","76","349","17","24","16","44","13","148"
"hsa-mir-21","687258","419337","314817","230314","664387","161133","443951","169929","392597","428942","509703","183820","762886","176027","485462","272324","207409","258474","256230","565083","288593","291187","187747","216956","387644","5682966","264436","1740660","889911","833939","27844","633620","806105","514730","1704564","1007259","924300","520355","479903","510938","1983636","1078189","1206600","486876","4900853","949975","302764","2133252","1137757","2654254"
"hsa-mir-210","1679","1289","1978","1440","1482","1999","1660","959","2047","2903","1877","1489","1480","2004","2537","2241","1744","1937","1212","3288","2207","1309","2622","763","1885","12661","4656","622","1747","7329","188","642","510","3886","484","315","548","135","239","1372","555","388","3055","485","6666","1246","1238","2324","585","994"
"hsa-mir-211","8","8","6","5","8","4","3","3","1","3","5","0","3","2","4","3","5","12","2","0","12","0","4","12","3","1","0","14","1","0","0","0","2","4","3","0","0","2","38","25","1","0","10","0","0","2","6","0","0","1"
"hsa-mir-2110","7","6","2","7","13","3","16","11","10","8","9","11","10","4","12","9","4","4","13","18","7","14","10","3","8","13","4","10","14","16","2","3","6","16","12","9","3","8","15","4","13","3","8","8","12","4","13","6","0","6"
"hsa-mir-2113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2114","10","3","0","1","2","2","0","1","2","1","2","0","3","1","2","1","1","4","0","3","3","1","0","0","2","64","7","0","2","0","0","6","8","2","19","1","3","3","73","1","2","11","1","25","0","6","4","0","0","0"
"hsa-mir-2115","0","0","2","0","1","0","1","0","0","1","1","0","2","1","0","4","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","3","0","1","0","6","0","2"
"hsa-mir-2116","3","4","4","5","3","3","3","4","5","9","3","4","0","2","11","3","11","4","5","4","7","4","2","1","6","9","3","5","2","0","2","3","4","7","3","1","3","4","5","5","4","7","4","2","6","3","33","5","2","4"
"hsa-mir-2117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-212","39","13","19","11","34","3","17","12","13","10","43","14","29","4","26","12","11","10","10","19","22","12","3","12","7","94","44","19","10","16","0","22","37","20","50","25","4","27","27","2","63","27","15","24","81","58","20","10","22","24"
"hsa-mir-214","374","88","103","96","425","91","169","193","149","152","241","75","258","55","176","134","106","163","119","199","213","138","81","88","112","521","18","128","12","10","8","12","125","58","646","16","5","96","276","7","18","86","42","13","138","325","24","85","210","190"
"hsa-mir-215","1672","1380","2948","244","689","478","908","328","364","833","1786","957","498","260","2520","659","1417","630","335","1184","3178","4838","278","304","344","140","629","710","524","331","67","1221","154","7871","767","5155","887","2146","140","950","8520","1955","1752","254","1024","2047","2643","25","174","58"
"hsa-mir-216a","31","19","22","6","15","4","5","21","32","23","13","25","24","10","70","1","62","16","15","91","57","50","14","19","7","5","22","321","0","499","25","128","414","728","287","263","7","14","8","643","1","387","1819","2","4","11","226","178","12","14"
"hsa-mir-216b","24","18","9","5","15","4","4","15","20","17","23","22","25","10","41","2","36","10","12","63","31","35","8","9","6","1","32","253","1","572","36","51","256","658","151","277","5","9","5","686","1","290","1616","1","2","8","315","121","4","10"
"hsa-mir-217","919","440","437","291","574","121","179","694","1271","872","481","675","941","287","1655","148","1231","507","885","2164","1167","1465","354","581","297","172","1135","13919","40","20512","1116","2716","22119","20809","9619","10480","279","933","162","37858","48","12884","76676","110","121","285","5755","6730","530","654"
"hsa-mir-218-1","173","53","28","49","165","28","55","32","45","45","158","36","55","22","63","53","41","65","33","59","93","51","17","58","46","387","28","137","16","9","2","3","213","56","394","34","11","54","317","7","252","78","85","15","153","111","45","60","178","260"
"hsa-mir-218-2","176","61","24","46","161","25","69","33","54","52","157","36","62","20","67","39","41","58","31","59","78","54","13","41","37","374","26","157","15","6","1","9","179","79","469","31","9","55","306","8","216","87","70","14","135","96","46","72","183","258"
"hsa-mir-219a-1","49","42","23","25","26","22","17","35","40","27","18","18","38","28","45","30","28","43","34","25","28","17","15","18","26","30","3","40","43","27","19","23","21","24","29","19","14","14","16","15","10","13","70","85","6","15","40","3","3","8"
"hsa-mir-219a-2","5","0","0","1","0","0","1","1","0","3","2","0","0","0","0","0","3","3","1","3","3","1","1","2","2","5","0","1","1","0","0","0","1","4","0","2","0","2","0","4","3","1","5","2","3","2","3","0","0","1"
"hsa-mir-219b","1","0","3","0","2","1","1","0","5","2","0","0","3","0","2","1","2","1","0","0","3","1","0","0","4","2","0","1","1","0","3","0","4","4","2","1","0","2","1","1","1","0","4","5","1","2","0","1","1","2"
"hsa-mir-22","1298525","1534262","1055092","592811","1190987","922239","833941","1002183","1281839","1643998","541515","618531","833104","755209","1687977","1507825","983158","944482","1076061","1428836","1132126","734809","1021311","493044","1328261","666855","349371","796912","895041","188549","681711","565898","746372","590900","1492869","860967","243719","550814","1710214","376238","531301","1049420","1107481","645407","618999","781216","957255","387257","357073","526532"
"hsa-mir-221","425","218","188","191","724","161","194","189","365","185","288","88","157","76","404","182","175","180","260","182","220","397","266","162","260","3665","272","822","622","847","73","340","520","811","961","525","364","806","1159","133","1009","730","168","2634","682","315","264","785","625","1149"
"hsa-mir-222","118","87","68","62","205","49","53","60","109","59","107","35","46","32","104","50","62","55","58","48","42","119","47","43","126","1418","93","223","166","333","9","96","124","217","166","201","136","224","303","34","228","156","47","646","178","104","102","154","139","315"
"hsa-mir-223","1488","1633","1459","1247","2750","822","1521","749","849","2654","2761","540","1824","797","1724","1275","1433","1086","958","718","1746","1716","315","1188","862","1285","389","675","431","211","93","142","792","423","4567","246","303","299","3955","188","1113","341","365","930","1018","1509","410","3924","825","2204"
"hsa-mir-224","178","54","22","67","378","29","46","32","152","57","53","7","83","21","27","39","27","66","34","210","86","196","108","24","345","2908","1019","1832","1635","618","13","11","623","587","344","225","188","53","350","361","44","1381","660","65","159","85","60","621","340","316"
"hsa-mir-2276","3","1","4","0","1","0","2","0","0","0","0","5","1","0","3","2","2","1","0","1","2","3","1","0","2","1","0","1","5","8","1","0","5","1","2","0","0","0","4","1","0","1","2","2","1","2","6","0","0","0"
"hsa-mir-2277","2","3","4","5","3","1","4","5","4","0","1","2","0","2","6","4","2","2","2","4","1","4","5","0","3","10","1","7","7","4","3","3","8","9","1","8","0","2","10","4","8","2","4","1","3","5","17","2","3","5"
"hsa-mir-2278","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0"
"hsa-mir-2355","316","190","98","180","226","142","179","215","162","210","151","132","202","137","192","236","187","272","205","158","204","123","117","90","170","529","57","289","42","124","64","28","317","149","374","86","103","56","303","66","140","135","270","54","784","223","382","83","138","80"
"hsa-mir-2392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-23a","16753","7548","7542","4139","14140","4249","6773","6781","6080","5722","8188","3303","8296","2666","13154","6019","6248","7093","5851","6798","8905","5349","4515","7254","6543","43579","3058","9968","4855","4177","1557","7829","7946","9302","21384","6476","2697","8545","24727","1160","7770","18409","7762","5615","19716","11486","8210","22927","26514","21619"
"hsa-mir-23b","20699","14051","14443","5742","11003","8566","9377","10066","10464","13219","9445","6903","9469","6205","18403","14793","14072","10176","10766","12547","21530","4993","8785","6904","13437","11412","4059","5833","10834","5420","4150","2125","9333","7798","17401","7235","4971","4832","9966","7165","3002","6354","10959","22076","19474","9414","15404","3856","8930","5405"
"hsa-mir-23c","32","24","5","0","1","1","13","9","10","0","4","0","0","0","23","8","1","2","3","2","5","0","7","4","11","1","0","0","2","0","1","0","0","2","3","0","0","0","1","2","0","0","2","13","1","2","7","4","4","2"
"hsa-mir-24-1","9791","4528","4550","1793","6038","2321","5721","3115","4753","4892","6634","3372","4617","1977","6811","5281","5110","3783","2969","5731","9117","4858","1585","1455","2405","17416","3181","3356","3136","3120","889","2184","6559","4201","12537","2658","2217","2081","13059","3197","2747","5316","4362","6282","13731","5661","7477","3580","3423","4628"
"hsa-mir-24-2","9115","4271","3977","1590","5919","2101","5352","2792","4490","4428","6249","2963","4446","1768","6336","4790","4638","3492","2629","5482","7938","4587","1370","1439","2150","17712","3079","3112","3013","3016","909","2127","6603","3968","12186","2608","2057","1981","12898","2978","2752","5094","4114","6023","13078","5341","6967","3892","3318","4701"
"hsa-mir-2467","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-25","52254","40931","18593","21913","45096","21974","27030","38693","51800","35804","24261","11641","24974","19098","39780","44183","26917","40525","49582","25348","32724","22078","11559","13960","20427","81856","48365","50732","87928","49703","11260","38982","66268","36403","86393","64743","30768","14592","48883","70227","59924","62442","58018","93533","130052","28736","34941","35344","21550","41411"
"hsa-mir-2681","8","0","0","0","2","1","3","2","2","1","3","0","3","1","0","0","0","0","1","0","3","0","0","1","0","0","3","8","0","0","0","0","1","4","2","0","0","1","1","1","0","0","0","0","0","1","0","1","0","0"
"hsa-mir-2682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-26a-1","20105","11984","9287","4437","16653","4947","11297","8248","8195","9934","15349","5963","12375","3482","17653","9263","8460","8552","8296","9992","17583","12276","2731","5536","5828","25647","5094","4939","7202","5494","774","4195","6072","15005","22153","7043","4191","4252","8353","4467","6602","15316","7465","12501","9806","10676","16489","5061","5920","5323"
"hsa-mir-26a-2","20232","12184","9054","4434","16453","4867","11144","8247","8245","9823","15511","5807","12442","3539","17614","9371","8222","8575","8498","10082","17538","12175","2685","5777","5648","26052","5120","4826","7273","5637","781","4105","6268","14961","22306","6972","4234","4221","8260","4415","6750","15167","7353","12712","9559","10596","16547","5038","5694","5337"
"hsa-mir-26b","27129","16209","9042","4620","15705","5801","16196","8667","7118","15776","15331","8728","14058","5399","20889","12819","12270","12815","11699","14624","26469","12039","2507","3618","5075","11749","13109","3591","12944","9484","1176","2154","5849","14299","16860","1955","5884","3652","7373","4528","4231","9499","6538","21141","13437","8897","9829","2351","2648","2495"
"hsa-mir-27a","8296","3134","2592","1905","5954","1748","4045","2656","3198","3455","6168","1753","3156","1254","5096","3311","2997","3613","2594","2960","5229","3761","780","1677","1538","41352","1506","4670","3379","1557","420","3048","5892","4017","11978","1806","1168","3069","15903","591","3460","7562","3057","2327","12337","5320","3339","7827","7020","8011"
"hsa-mir-27b","42465","24652","23757","9846","18014","13542","22714","14021","17089","31999","19359","14281","16430","10956","29159","30870","28356","21962","16996","21668","52728","12934","9528","7637","16272","24211","7493","8731","21398","11383","5089","2911","19253","11964","39140","9380","10765","6145","20907","16262","3337","10016","15436","24462","38170","15949","24750","4535","8788","6077"
"hsa-mir-28","46063","36756","18459","18922","30999","20893","20777","32129","35901","27323","19716","13344","28436","17600","41134","34122","20524","26737","31099","26425","27674","18358","13556","15030","20934","28946","14423","21711","16145","23348","9102","13200","19240","21092","54471","12850","15010","10994","18754","53752","23027","39295","50526","23569","44282","23309","35881","13909","6847","20235"
"hsa-mir-2861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-296","59","4","10","21","13","9","30","8","44","10","38","3","5","5","11","18","13","22","17","19","51","17","10","3","25","60","1","3","25","39","1","29","120","3","44","49","0","51","6","8","1","56","0","18","5","55","2","2","25","5"
"hsa-mir-297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-299","138","28","38","14","35","12","37","26","27","45","43","17","54","17","47","23","31","28","24","52","51","31","10","11","16","163","17","20","1","54","1","2","7","25","99","2","46","15","2","6","5","18","8","74","20","58","27","38","17","18"
